inputs snt do_max try_min try_max prune slice backend fallback reallocate prog_len prog_saved prog_regs cpu_time
15 jgamble_best False True False True 0 sat False True 224 0 16 1.205860
15 jgamble_best False True False True 1 sat False True 224 0 16 0.314859
15 jgamble_best False True False True -1 sat False True 224 0 16 0.806019
15 jgamble_best False True False True -1 z3 False True 224 0 16 3.000976
15 jgamble_best False True False True 2 sat False True 224 0 16 0.409178
15 jgamble_best False True False True 3 sat False True 224 0 16 0.577584
15 jgamble_best False True False True 3 sat False True 224 0 16 0.641397
15 jgamble_best False True False True 5 sat False True 224 0 16 0.925529
15 jgamble_best False True False True 7 sat False True 224 0 16 1.052058
16 batcher False True False True 0 sat False True 247 5 19 1.415251
16 batcher False True False True -1 sat False True 247 5 19 0.943891
16 batcher False True False True 1 sat False True 252 0 17 0.344283
16 batcher False True False True -1 z3 False True 247 5 19 3.581643
16 batcher False True False True 2 sat False True 249 3 19 0.387164
16 batcher False True False True 2 sat False True 249 3 19 0.449864
16 batcher False True False True 3 sat False True 249 3 19 0.598428
16 batcher False True False True 4 sat False True 248 4 19 0.854855
16 batcher False True False True 5 sat False True 247 5 19 1.086821
16 batcher False True False True 8 sat False True 247 5 19 1.196377
16 jgamble_batcher False True False False -1 sat True True 247 5 19 128.886449
16 jgamble_best False True False True 0 sat False True 240 0 17 1.404501
16 jgamble_best False True False True 1 sat False True 240 0 17 0.384379
16 jgamble_best False True False True -1 sat False True 240 0 17 0.902514
16 jgamble_best False True False True -1 z3 False True 240 0 17 3.307800
16 jgamble_best False True False True 2 sat False True 240 0 17 0.490425
16 jgamble_best False True False True 2 sat False True 240 0 17 0.497584
16 jgamble_best False True False True 3 sat False True 240 0 17 0.685135
16 jgamble_best False True False True 4 sat False True 240 0 17 0.866385
16 jgamble_best False True False True 5 sat False True 240 0 17 1.184036
16 jgamble_best False True False True 8 sat False True 240 0 17 1.220259
17 batcher False True False True 0 sat False True 288 8 20 2.256940
17 batcher False True False True -1 sat False True 288 8 20 1.482453
17 batcher False True False True 1 sat False True 296 0 18 0.561740
17 batcher False True False True -1 z3 False True 288 8 20 5.602669
17 batcher False True False True 2 sat False True 292 4 19 0.630030
17 batcher False True False True 2 sat False True 292 4 19 0.716071
17 batcher False True False True 3 sat False True 291 5 19 0.945517
17 batcher False True False True 4 sat False True 289 7 19 1.285121
17 batcher False True False True 5 sat False True 288 8 20 1.546129
17 batcher False True False True 8 sat False True 288 8 20 1.966132
17 jgamble_batcher False True False False -1 sat True True 288 8 20 223.653075
18 batcher False True False True 0 sat False True 318 10 21 2.803943
18 batcher False True False True -1 sat False True 318 10 21 1.844732
18 batcher False True False True 1 sat False True 328 0 19 0.693793
18 batcher False True False True -1 z3 False True 318 10 21 7.590636
18 batcher False True False True 2 sat False True 323 5 21 0.908020
18 batcher False True False True 3 sat False True 321 7 21 1.114694
18 batcher False True False True 3 sat False True 321 7 21 1.130254
